Ref_Date,Geography,Measure Type,Measure, Value 
2008/04,Alberta,Family Composition,Single Total,"32,948"
2008/04,Alberta,Family Composition,Single Parent Total,"1,836"
2008/04,Alberta,Family Composition,Childless Couples Total,"1,421"
2008/04,Alberta,Family Composition,Couples with Children Total,700
2008/04,Alberta,Family Composition,All Types Total,"36,905"
2008/05,Alberta,Family Composition,Single Total,"33,039"
2008/05,Alberta,Family Composition,Single Parent Total,"1,832"
2008/05,Alberta,Family Composition,Childless Couples Total,"1,424"
2008/05,Alberta,Family Composition,Couples with Children Total,702
2008/05,Alberta,Family Composition,All Types Total,"36,997"
2008/06,Alberta,Family Composition,Single Total,"33,075"
2008/06,Alberta,Family Composition,Single Parent Total,"1,849"
2008/06,Alberta,Family Composition,Childless Couples Total,"1,426"
2008/06,Alberta,Family Composition,Couples with Children Total,699
2008/06,Alberta,Family Composition,All Types Total,"37,049"
2008/07,Alberta,Family Composition,Single Total,"33,162"
2008/07,Alberta,Family Composition,Single Parent Total,"1,862"
2008/07,Alberta,Family Composition,Childless Couples Total,"1,437"
2008/07,Alberta,Family Composition,Couples with Children Total,700
2008/07,Alberta,Family Composition,All Types Total,"37,161"
2008/08,Alberta,Family Composition,Single Total,"33,245"
2008/08,Alberta,Family Composition,Single Parent Total,"1,835"
2008/08,Alberta,Family Composition,Childless Couples Total,"1,430"
2008/08,Alberta,Family Composition,Couples with Children Total,699
2008/08,Alberta,Family Composition,All Types Total,"37,209"
2008/09,Alberta,Family Composition,Single Total,"33,332"
2008/09,Alberta,Family Composition,Single Parent Total,"1,849"
2008/09,Alberta,Family Composition,Childless Couples Total,"1,450"
2008/09,Alberta,Family Composition,Couples with Children Total,704
2008/09,Alberta,Family Composition,All Types Total,"37,335"
2008/10,Alberta,Family Composition,Single Total,"33,477"
2008/10,Alberta,Family Composition,Single Parent Total,"1,847"
2008/10,Alberta,Family Composition,Childless Couples Total,"1,469"
2008/10,Alberta,Family Composition,Couples with Children Total,719
2008/10,Alberta,Family Composition,All Types Total,"37,512"
2008/11,Alberta,Family Composition,Single Total,"33,552"
2008/11,Alberta,Family Composition,Single Parent Total,"1,845"
2008/11,Alberta,Family Composition,Childless Couples Total,"1,467"
2008/11,Alberta,Family Composition,Couples with Children Total,713
2008/11,Alberta,Family Composition,All Types Total,"37,577"
2008/12,Alberta,Family Composition,Single Total,"33,621"
2008/12,Alberta,Family Composition,Single Parent Total,"1,857"
2008/12,Alberta,Family Composition,Childless Couples Total,"1,478"
2008/12,Alberta,Family Composition,Couples with Children Total,706
2008/12,Alberta,Family Composition,All Types Total,"37,662"
2009/01,Alberta,Family Composition,Single Total,"33,720"
2009/01,Alberta,Family Composition,Single Parent Total,"1,854"
2009/01,Alberta,Family Composition,Childless Couples Total,"1,507"
2009/01,Alberta,Family Composition,Couples with Children Total,720
2009/01,Alberta,Family Composition,All Types Total,"37,801"
2009/02,Alberta,Family Composition,Single Total,"33,780"
2009/02,Alberta,Family Composition,Single Parent Total,"1,862"
2009/02,Alberta,Family Composition,Childless Couples Total,"1,511"
2009/02,Alberta,Family Composition,Couples with Children Total,704
2009/02,Alberta,Family Composition,All Types Total,"37,857"
2009/03,Alberta,Family Composition,Single Total,"33,970"
2009/03,Alberta,Family Composition,Single Parent Total,"1,864"
2009/03,Alberta,Family Composition,Childless Couples Total,"1,517"
2009/03,Alberta,Family Composition,Couples with Children Total,714
2009/03,Alberta,Family Composition,All Types Total,"38,065"
2009/04,Alberta,Family Composition,Single Total,"34,104"
2009/04,Alberta,Family Composition,Single Parent Total,"1,872"
2009/04,Alberta,Family Composition,Childless Couples Total,"1,535"
2009/04,Alberta,Family Composition,Couples with Children Total,716
2009/04,Alberta,Family Composition,All Types Total,"38,227"
2009/05,Alberta,Family Composition,Single Total,"34,310"
2009/05,Alberta,Family Composition,Single Parent Total,"1,890"
2009/05,Alberta,Family Composition,Childless Couples Total,"1,546"
2009/05,Alberta,Family Composition,Couples with Children Total,721
2009/05,Alberta,Family Composition,All Types Total,"38,467"
2009/06,Alberta,Family Composition,Single Total,"34,583"
2009/06,Alberta,Family Composition,Single Parent Total,"1,881"
2009/06,Alberta,Family Composition,Childless Couples Total,"1,587"
2009/06,Alberta,Family Composition,Couples with Children Total,694
2009/06,Alberta,Family Composition,All Types Total,"38,745"
2009/07,Alberta,Family Composition,Single Total,"34,847"
2009/07,Alberta,Family Composition,Single Parent Total,"1,905"
2009/07,Alberta,Family Composition,Childless Couples Total,"1,590"
2009/07,Alberta,Family Composition,Couples with Children Total,703
2009/07,Alberta,Family Composition,All Types Total,"39,045"
2009/08,Alberta,Family Composition,Single Total,"34,948"
2009/08,Alberta,Family Composition,Single Parent Total,"1,914"
2009/08,Alberta,Family Composition,Childless Couples Total,"1,610"
2009/08,Alberta,Family Composition,Couples with Children Total,707
2009/08,Alberta,Family Composition,All Types Total,"39,179"
2009/09,Alberta,Family Composition,Single Total,"35,096"
2009/09,Alberta,Family Composition,Single Parent Total,"1,923"
2009/09,Alberta,Family Composition,Childless Couples Total,"1,633"
2009/09,Alberta,Family Composition,Couples with Children Total,719
2009/09,Alberta,Family Composition,All Types Total,"39,371"
2009/10,Alberta,Family Composition,Single Total,"35,266"
2009/10,Alberta,Family Composition,Single Parent Total,"1,952"
2009/10,Alberta,Family Composition,Childless Couples Total,"1,646"
2009/10,Alberta,Family Composition,Couples with Children Total,719
2009/10,Alberta,Family Composition,All Types Total,"39,583"
2009/11,Alberta,Family Composition,Single Total,"35,413"
2009/11,Alberta,Family Composition,Single Parent Total,"1,985"
2009/11,Alberta,Family Composition,Childless Couples Total,"1,614"
2009/11,Alberta,Family Composition,Couples with Children Total,761
2009/11,Alberta,Family Composition,All Types Total,"39,773"
2009/12,Alberta,Family Composition,Single Total,"35,553"
2009/12,Alberta,Family Composition,Single Parent Total,"1,989"
2009/12,Alberta,Family Composition,Childless Couples Total,"1,614"
2009/12,Alberta,Family Composition,Couples with Children Total,758
2009/12,Alberta,Family Composition,All Types Total,"39,914"
2010/01,Alberta,Family Composition,Single Total,"35,724"
2010/01,Alberta,Family Composition,Single Parent Total,"1,995"
2010/01,Alberta,Family Composition,Childless Couples Total,"1,625"
2010/01,Alberta,Family Composition,Couples with Children Total,773
2010/01,Alberta,Family Composition,All Types Total,"40,117"
2010/02,Alberta,Family Composition,Single Total,"35,848"
2010/02,Alberta,Family Composition,Single Parent Total,"2,007"
2010/02,Alberta,Family Composition,Childless Couples Total,"1,640"
2010/02,Alberta,Family Composition,Couples with Children Total,765
2010/02,Alberta,Family Composition,All Types Total,"40,260"
